id,couleur_secondaire
tt0093870,rose
tt0093881,noir
tt0093886,blanc
tt0093894,rose
tt0093898,blanc
tt0093913,rose
tt0093940,marron
tt0093966,gris
tt0093969,noir
tt0093970,marron
tt0094006,gris
tt0094008,rose
tt0094012,noir
tt0094020,gris
tt0094021,noir
tt0094025,rose
tt0094027,gris
tt0094033,rose
tt0094034,gris
tt0094035,marron
tt0094037,marron
tt0094056,noir
tt0094071,noir
tt0094072,rose
tt0094074,gris
tt0094082,rose
tt0094089,gris
tt0094118,noir
tt0094140,gris
tt0094142,noir
tt0094155,marron
tt0094169,noir
tt0094208,noir
tt0094226,rose
tt0094291,gris
tt0094293,gris
tt0094304,gris
tt0094315,blanc
tt0094318,gris
tt0094321,blanc
tt0094331,gris
tt0094332,noir
tt0094383,rose
tt0094593,gris
tt0094594,gris
tt0094602,gris
tt0094606,gris
tt0094608,blanc
tt0094612,rose
tt0094631,gris
tt0094637,gris
tt0094651,marron
tt0094663,rose
tt0094669,rose
tt0094678,noir
tt0094701,noir
tt0094712,rose
tt0094715,noir
tt0094716,rose
tt0094721,violet
tt0094731,marron
tt0094737,rose
tt0094739,marron
tt0094744,marron
tt0094746,jaune
tt0094747,gris
tt0094761,marron
tt0094768,gris
tt0094783,rose
tt0094792,gris
tt0094799,blanc
tt0094812,noir
tt0094819,rose
tt0094824,gris
tt0094827,rose
tt0094846,gris
tt0094862,gris
tt0094869,noir
tt0094871,rose
tt0094882,rose
tt0094884,gris
tt0094889,noir
tt0094890,noir
tt0094894,marron
tt0094898,noir
tt0094907,gris
tt0094910,noir
tt0094921,gris
tt0094933,rose
tt0094934,gris
tt0094947,gris
tt0094961,gris
tt0094963,noir
tt0094964,rose
tt0094979,marron
tt0094980,gris
tt0095016,gris
tt0095031,gris
tt0095036,rose
tt0095047,gris
tt0095050,violet
tt0095082,marron
tt0095088,gris
tt0095107,gris
tt0095119,gris
tt0095145,rose
tt0095159,blanc
tt0095169,gris
tt0095174,noir
tt0095178,rose
tt0095179,gris
tt0095186,gris
tt0095188,blanc
tt0095238,rose
tt0095243,noir
tt0095250,violet
tt0095253,rose
tt0095271,rose
tt0095274,marron
tt0095275,rose
tt0095280,rose
tt0095288,rose
tt0095289,blanc
tt0095294,noir
tt0095296,gris
tt0095304,noir
tt0095311,noir
tt0095326,noir
tt0095333,gris
tt0095348,gris
tt0095357,orange
tt0095360,gris
tt0095382,rose
tt0095409,rose
tt0095428,rose
tt0095454,noir
tt0095484,rose
tt0095488,noir
tt0095489,gris
tt0095497,gris
tt0095519,gris
tt0095532,gris
tt0095560,rose
tt0095564,rose
tt0095583,gris
tt0095593,marron
tt0095599,marron
tt0095613,gris
tt0095626,marron
tt0095629,gris
tt0095631,gris
tt0095638,gris
tt0095640,noir
tt0095647,marron
tt0095649,noir
tt0095652,gris
tt0095654,marron
tt0095662,rose
tt0095665,rose
tt0095675,gris
tt0095687,gris
tt0095690,rose
tt0095705,gris
tt0095726,marron
tt0095736,rose
tt0095742,marron
tt0095774,noir
