Titre de l'image,Sujets,0,1,2,3,4,5,6,7,8
tt2034139.jpg,"['sw', 'ast', 'xorcism', 'part', 'peg', 'ril', 'tgr']",southwest,part,one,peg,,,,,
tt1931435.jpg,['wedd'],,,,,,,,,
tt1800367.jpg,['ho'],holmium,goblin,,,,,,,
tt0790736.jpg,['acw'],aa,ten,,,,,,,
tt2555268.jpg,[],,,,,,,,,
tt2321163.jpg,"['arse', 'zpuinceeun']",wok,buttocks,,,,,,,
tt2444946.jpg,"['blufwater', 'cinemas', 'wednesday', 'march', '@']",screening,film,Wednesday,March,twenty-seven,,,,
tt2358891.jpg,[],,,,,,,,,
tt1869716.jpg,[],,,,,,,,,
tt1985966.jpg,"['september', 'w', '«', '==']",September,tungsten,nine,,,,,,
tt2387559.jpg,"['‘', 'life', 'delivers']",never,quite,ready,life,deliver,,,,
tt2689966.jpg,"['kwkkkk', 'pare', 'wir', 'tllie', 'joe', 'pstrong', 'hamlton', 'rapittelaan', 'thoworth']",diet,pare,ear,,,,,,
tt3313776.jpg,[],,,,,,,,,
tt2825924.jpg,[],,,,,,,,,
tt1924429.jpg,[],,,,,,,,,
tt3195742.jpg,"['®s', 'pais']",,,,,,,,,
tt2083355.jpg,"['man', 'holiday']",best,man,vacation,,,,,,
tt2852400.jpg,[],,,,,,,,,
tt1741243.jpg,[],,,,,,,,,
tt2992152.jpg,"['oy', 'ey', '[', 'ail']",garlic,,,,,,,,
tt2992146.jpg,"['dee', '°f', 'rise', 'sea', 'dragon']",detective,rise,sea,dragon,,,,,
tt0795461.jpg,"['isicomings', 'protection']",supernatural,bring,protection,,,,,,
tt1925479.jpg,[],,,,,,,,,
tt2247432.jpg,[],,,,,,,,,
tt2504022.jpg,"['imi', 'esri']",see,,,,,,,,
tt2229499.jpg,[],,,,,,,,,
tt1583421.jpg,[],,,,,,,,,
tt2083231.jpg,[],,,,,,,,,
tt3498042.jpg,"['dae', 'tass']",elemental,tantalum,,,,,,,
tt2948266.jpg,[],,,,,,,,,
tt2084953.jpg,['terms'],footing,May,use,,,,,,
tt2318527.jpg,"['creators', 'oil', 'es', 'host', 'comedy', 'tm', '‘', 'mama']",Godhead,Reno,oil,einsteinium,host,terrify,comedy,thulium,
tt1426329.jpg,[],,,,,,,,,
tt2386327.jpg,"['cette', 'c', 'docomentory', 'spencer', 'metall', 'eg', 'caninenenes', 'soe']",grist,light,degree_centigrade,institute,,,,,
tt2401007.jpg,"['st', 'ru', 'ai', 'nm']",two,ruthenium,Army_Intelligence,one,sour,nanometer,,,
tt1682180.jpg,"['family', 'j', 'director', 'oldroy']",lithium,family,joule,director,,,,,
