Id,nb_visages,position_visage,emotion1,emotion2
tt0089755,0,0,0,0
tt0089767,0,0,0,0
tt0089791,1,1,0,0
tt0089798,2,2,1,0
tt0089822,0,0,0,0
tt0089839,0,0,0,0
tt0089841,1,1,1,0
tt0089853,0,0,0,0
tt0089869,0,0,0,0
tt0089877,1,2,2,0
tt0089880,1,2,1,0
tt0089881,0,0,0,0
tt0089883,4,2,1,1
tt0089885,0,0,0,0
tt0089886,1,1,2,0
tt0089893,0,0,0,0
tt0089901,1,2,3,0
tt0089907,0,0,0,0
tt0089913,2,1,1,1
tt0089927,1,2,2,0
tt0089941,1,1,5,0
tt0089981,1,1,1,0
tt0090021,0,0,0,0
tt0090022,3,1,3,1
tt0090036,1,1,2,0
tt0090037,1,1,5,0
tt0090056,0,0,0,0
tt0090060,4,2,2,0
tt0090065,2,1,1,4
tt0090073,0,0,0,0
tt0090092,0,0,0,0
tt0090095,1,2,1,0
tt0090098,0,0,0,0
tt0090103,0,0,0,0
tt0090110,1,1,1,0
tt0090112,0,0,0,0
tt0090130,2,2,3,1
tt0090142,1,1,0,0
tt0090151,1,2,1,0
tt0090152,0,0,0,0
tt0090180,0,0,0,0
tt0090184,1,1,2,0
tt0090196,2,2,1,3
tt0090203,0,0,0,0
tt0090209,1,1,0,0
tt0090213,1,1,3,0
tt0090217,3,1,1,2
tt0090223,2,1,3,3
tt0090264,0,0,0,0
tt0090270,1,1,3,0
tt0090274,1,1,3,0
tt0090293,0,0,0,0
tt0090305,1,1,1,0
tt0090310,0,0,0,0
tt0090319,0,0,0,0
tt0090323,3,1,1,3
tt0090327,0,0,0,0
tt0090329,1,1,1,0
tt0090350,0,0,0,0
tt0090357,1,2,1,0
tt0090555,0,0,0,0
tt0090557,1,1,3,0
tt0090559,0,0,0,0
tt0090563,1,1,1,0
tt0090567,2,1,1,1
tt0090568,2,1,1,1
tt0090570,2,2,3,2
tt0090576,1,1,1,0
tt0090583,2,2,1,1
tt0090585,2,2,4,3
tt0090605,0,0,0,0
tt0090631,2,1,1,3
tt0090633,0,0,0,0
tt0090655,0,0,0,0
tt0090660,1,1,3,0
tt0090670,0,0,0,0
tt0090678,2,2,1,3
tt0090685,1,1,0,0
tt0090693,1,1,1,0
tt0090710,1,2,1,0
tt0090713,1,2,2,0
tt0090728,1,2,1,0
tt0090735,1,1,3,0
tt0090738,0,0,0,0
tt0090753,1,1,3,0
tt0090756,1,1,3,0
tt0090768,1,2,1,0
tt0090769,0,0,0,0
tt0090774,1,1,2,0
tt0090779,2,1,1,3
tt0090830,1,1,0,0
