CLI_ID,UNIVERS,MOIS_VENTE,FAMILLE,MAILLE,"('PRIX_NET', 'min')","('PRIX_NET', 'max')","('PRIX_NET', 'mean')"
991504782,HYG_DOUCHE PLAISIRNATURE,10,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,1.5,1.5,1.5
991504790,MAQ_YEUX Eyeliner,7,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,1.5,8.95,5.981
991504831,VIS_SOIN LEVRES,12,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.25,7.0,4.125
991504849,PARF_PARF ET EAU DE PARF,3,PARFUMAGE,PARF_PARFUM,15.9,35.9,25.9
991504899,HYG_DEO PARFUMS,6,HYGIENE,HYG_PARFUMEE,6.8,18.4,11.149999999999999
991504930,VIS_DEMAQ BLEUET,1,SOINS DU VISAGE,VIS_AUTRES,3.5,17.5,9.68
991505063,MAQ_LEV RAL Hydr,2,MAQUILLAGE,MAQ_LEV_RAL_HMG,2.95,7.45,5.2
991505104,CORPS_LAIT HUILE PARFUMS,3,SOINS DU CORPS,CORPS_HYDR_LAIT_HUILE,1.25,13.0,5.742857142857143
991505188,CAP_SHAMP TRAITANT,10,CAPILLAIRES,CAPILLAIRE_SHAMPOING,1.5,5.9,3.0966666666666667
991505245,HYG_DOUCHE PARFUMS,3,HYGIENE,HYG_PARFUMEE,1.95,1.95,1.95
991505253,MAQ_YEUX Crayons,3,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,3.95,12.5,7.633333333333333
991505295,HYG_DOUCHE CULTUREBIO,6,HYGIENE,HYG_CULTUREBIO,1.95,19.9,4.857222222222223
991505302,CORPS_SOIN DES MAINS,11,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,2.5,2.5,2.5
991505352,MAQ_YEUX Fard,10,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,9.7,9.7,9.7
991505394,MAQ_TEINT Poudres,6,MAQUILLAGE,MAQ_TEINT,9.0,9.0,9.0
991505435,HYG_DOUCHE JARDINMONDE,9,HYGIENE,HYG_JDM,5.0,19.9,12.45
991505451,CORPS_HYDRA NOURRISANT,11,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.5,10.9,3.3714285714285714
991505485,VIS_TRAIT Jeunes Specifique,9,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,7.95,14.0,11.65
991505493,VIS_TRAIT AAAR,9,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,12.9,12.9,12.9
991505542,MAQ_YEUX Mascara SexyPulp,8,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,3.0,12.95,7.75
991505550,VIS_CJOUR AAAR,4,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,24.5,25.22,24.74
991505584,HYG_DOUCHE EDT NOEL,12,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,4.95,4.95,4.95
991505617,CORPS_HYDRA NOURRISANT,7,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,5.45,10.0,8.483333333333333
991505659,MAQ_LEV BRILLANT,12,MAQUILLAGE,MAQ_LEV_BASPRIX,1.95,9.95,5.1875
991505675,HYG_DOUCHE JARDINMONDE,8,HYGIENE,HYG_JDM,1.5,5.5,2.5
991505691,MAQ_TEINT Font teint,3,MAQUILLAGE,MAQ_TEINT,9.45,9.45,9.45
991505732,VIS_TRAIT Jeunes Specifique,1,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,3.65,9.95,6.449999999999999
991505764,HYG_DOUCHE JARDINMONDE,6,HYGIENE,HYG_JDM,3.0,3.0,3.0
991505772,MAQ_YEUX Crayons,7,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.95,1.95,1.95
991505798,HYG_DOUCHE JARDINMONDE,9,HYGIENE,HYG_JDM,1.5,4.95,2.9200000000000004
